id,target,split
196535,,test
63075900,2.0,train
35233935,2.0,train
23557360,4.0,train
78926486,,test
42781042,4.0,train
38675005,4.0,train
65130548,,test
27011323,,test
33702942,2.0,train
84825109,2.0,train
72372317,2.0,train
31238034,2.0,train
29412202,2.0,train
41430879,,test
71792778,,test
45152307,0.0,train
1891364,0.0,train
29540477,2.0,train
48833902,2.0,train
27276041,,test
74024198,4.0,train
8011681,3.0,train
63469166,2.0,train
46855839,,test
60045139,2.0,train
48333524,2.0,train
37149035,2.0,train
9767017,,test
56107128,2.0,train
63178790,2.0,train
84242200,2.0,train
67830635,2.0,train
69844386,2.0,train
55142609,2.0,train
19425011,0.0,train
8207065,2.0,train
56610044,2.0,train
10225601,2.0,train
20472509,2.0,train
2380253,2.0,train
17706528,,test
40267936,2.0,train
78888281,2.0,train
69054504,2.0,train
38368286,2.0,train
62279483,,test
7186496,,test
76172769,2.0,train
50077622,4.0,train
46592871,0.0,train
7395213,0.0,train
57134207,0.0,train
54768031,2.0,train
43815278,2.0,train
75841354,4.0,train
54671643,2.0,train
67530393,,test
2612560,,test
6447005,2.0,train
61813282,2.0,train
5879972,2.0,train
1397820,2.0,train
32135770,,test
20118120,2.0,train
80394641,2.0,train
42721918,2.0,train
11301406,,test
9593789,2.0,train
78478562,2.0,train
8865770,2.0,train
47865607,4.0,train
51823345,0.0,train
46887050,,test
15458025,,test
35725820,0.0,train
41942798,3.0,train
27690850,0.0,train
24086545,0.0,train
24008116,0.0,train
20319542,,test
8083314,0.0,train
5615939,0.0,train
45428904,0.0,train
7663308,0.0,train
38673550,0.0,train
77514896,0.0,train
23254851,,test
80658913,0.0,train
46297722,0.0,train
56983297,,test
17776763,,test
68652981,0.0,train
79900798,0.0,train
1682509,0.0,train
20936710,0.0,train
45840320,0.0,train
33891477,0.0,train
54358477,0.0,train
88139984,,test
22596504,0.0,train
51274281,,test
80210560,0.0,train
12257149,0.0,train
40737641,0.0,train
41893986,0.0,train
6636470,2.0,train
46979556,0.0,train
18067925,0.0,train
51442517,0.0,train
46001551,0.0,train
58087007,,test
79786851,0.0,train
47192418,0.0,train
20338112,,test
10726405,0.0,train
20648610,2.0,train
76229422,,test
74846624,3.0,train
38751735,0.0,train
5981889,0.0,train
64767927,,test
70273914,,test
54822759,2.0,train
47383163,0.0,train
65740737,2.0,train
37111169,2.0,train
47230916,,test
43169772,2.0,train
64421928,2.0,train
36093628,2.0,train
82524377,2.0,train
16220922,,test
38090072,0.0,train
